ma	mas
mac	macs
macaroon	macaroons
macadamia	macadamias
mace	maces
macaw	macaws
macaque	macaques
macerate	macerates
macerate	macerating
maceration	macerations
macerate	macerated
machination	machinations
mach	machs
machete	machetes
machine	machining
machine-gun	machine-guns
machine	machined
machinery	machineries
machinist	machinists
macintosh	macintoshes
mackintosh	mackintoshes
machine	machines
mackerel	mackerels
macrocosm	macrocosms
macrofossil	macrofossils
macro	macros
macrocycle	macrocycles
macroinvertebrate	macroinvertebrates
macro-level	macro-levels
macromolecule	macromolecules
macrolide	macrolides
macronutrient	macronutrients
macrophyte	macrophytes
macrophage	macrophages
macula	maculae
macula	maculas
mad	madder
macho	machos
madden	maddened
madam	madams
mad	maddest
madder	madders
madden	maddening
madhouse	madhouses
madman	madmen
madden	maddens
Madonna	Madonnas
madness	madnesses
madrigal	madrigals
madeira	madeiras
madwoman	madwomen
maelstrom	maelstroms
mag	mags
maestro	maestros
magazine	magazines
mage	mages
maestro	maestri
magenta	magentas
magic	magicking
maggot	maggots
magic	magicked
mafia	mafias
magisterium	magisteria
magisterium	magisteriums
magistracy	magistracies
magic	magics
magistrate	magistrates
magician	magicians
magnesium	magnesiums
magnet	magnets
magnate	magnates
magnetisation	magnetisations
magnetise	magnetises
magnetite	magnetites
magma	magmas
magnetise	magnetised
magnetise	magnetising
magnetize	magnetizing
magnetization	magnetizations
magneto	magnetos
magnetize	magnetized
magnetron	magnetrons
magnetometer	magnetometers
magnetosphere	magnetospheres
magnifier	magnifiers
magnification	magnifications
magnetize	magnetizes
magnify	magnifies
magnify	magnifying
magnitude	magnitudes
magnum	magnums
magnify	magnified
magus	magi
magnolia	magnolias
magpie	magpies
maharaja	maharajas
maiden	maidens
mahogany	mahoganies
maidservant	maidservants
maid	maids
mah-jong	mah-jongg
mail	mails
mail	mailing
mailbag	mailbags
mailbox	mailboxes
mailing	mailings
mailman	mailmen
mail	mailed
mailer	mailers
mail-order	mail-orders
maim	maims
maim	maiming
mainline	mainlined
mainframe	mainframes
mainline	mainlines
mainline	mainlining
mainstay	mainstays
mainspring	mainsprings
mainstream	mainstreamed
mainstream	mainstreaming
mainstreaming	mainstreamings
mainstream	mainstreams
maintain	maintained
maintain	maintaining
maintainer	maintainers
main	mains
maintain	maintains
maisonette	maisonettes
majesty	majesties
major	majored
maim	maimed
major	majoring
majorette	majorettes
major-domo	major-domos
major	majors
majoritarian	majoritarians
major-general	major-generals
make	made
maize	maizes
make	making
majority	majorities
maker	makers
makeover	makeovers
makeup	makeups
make	makes
making	makings
make-weight	make-weights
malabsorption	malabsorptions
maladie	maladies
mal	mals
maladjustment	maladjustments
